title,price,rating,discount,reviews,highlights
"Nokia C22 (Sand, 64 GB)","₹6,590",3.6,26% off,276 Ratings & 5 Reviews,2 GB RAM | 64 GB ROM16.51 cm (6.5 inch) Display13MP Rear Camera5000 mAh Battery1-year warranty
"REDMI Note 13 Pro 5G (Coral Purple, 128 GB)","₹24,999",4.3,13% off,"16,522 Ratings & 1,485 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI Note 13 Pro+ 5G (Fusion Purple, 256 GB)","₹30,999",4.2,8% off,"7,304 Ratings & 825 Reviews",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7200 Ultra 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Tecno Camon 30 5G (Basaltic Dark, 512 GB)","₹26,999",4.4,18% off,13 Ratings & 1 Reviews,12 GB RAM | 512 GB ROM | Expandable Upto 1 TB17.22 cm (6.78 inch) Full HD+ Display50MP + 2MP | 50MP Front Camera5000 mAh BatteryMediatek Dimensity 7020 Processor1 year manufacturer Warranty
"vivo Y27 (Sea Blue, 128 GB)","₹13,999",4.2,26% off,"2,215 Ratings & 99 Reviews",6 GB RAM | 128 GB ROM16.87 cm (6.64 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"SAMSUNG Galaxy Z Flip5 (Mint, 256 GB)","₹99,999",4.4,2% off,694 Ratings & 44 Reviews,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display12MP + 12MP | 10MP Front Camera3700 mAh BatterySnapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"POCO M3 Pro 5G (Yellow, 128 GB)","₹16,499",4.2,8% off,"55,622 Ratings & 4,549 Reviews","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display48MP + 2MP + 2MP | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Dimensity 700 ProcessorMultiple Hands-free Voice AssistantOne Year Warranty for Handset, 6 Months for Accessories"
"realme narzo 70 5G (Ice Blue, 128 GB)","₹14,975",4.3,25% off,346 Ratings & 21 Reviews,6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ AMOLED Display50MP Rear Camera5000 mAh Battery1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Nokia C32 (Beach Pink, 128 GB)","₹8,302",3.9,33% off,271 Ratings & 23 Reviews,6 GB RAM | 128 GB ROM16.55 cm (6.517 inch) Display50MP Rear Camera5000 mAh Battery1 Year Replacement Guarantee for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase
"REDMI 12C (Lavender Purple, 128 GB)","₹9,350",4.1,41% off,"4,851 Ratings & 240 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Xiaomi 14 CIVI (Cruise Blue, 512 GB)","₹47,999",4.3,20% off,205 Ratings & 23 Reviews,12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"OPPO A18 (Glowing Blue, 64 GB)","₹8,999",4.3,40% off,"1,405 Ratings & 68 Reviews",4 GB RAM | 64 GB ROM16.66 cm (6.56 inch) HD+ Display8MP + 2MP | 5MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
